,U1_OK_d_wl_ew6,U1_OK_d_wl_sn21,U1_OK_d_wl_sn26,U1_OK_d_wl_sn10,U1_OK_d_wl_ew35,compliance-IBC1020_2,compliance-IBC1207_1,compliance-IBC1207_3,compliance
316,2.8856,2.3771,8.1239,5.0957,9.7937,False,True,False,False
317,2.8076,2.4701,8.0561,5.1035,10.0883,True,True,False,False
318,2.9864,2.2595,8.1221,4.9841,9.7133,False,False,False,False
319,3.2864,2.5289,7.8887,5.501899999999999,9.7529,False,True,True,False
320,2.6984,2.3819,7.756699999999999,4.9829,9.6965,True,True,False,False
321,2.2136,2.5349,7.7399,5.4335,10.0727,True,False,False,False
322,3.3008,2.6429,8.1347,5.3495,10.1333,False,True,True,False
323,2.7884,2.4653,7.6865,5.0417,9.7169,False,True,False,False
324,3.0224,2.5499,7.8875,5.2151,9.9473,False,True,True,False
325,3.2708,2.3981,7.9565,5.144299999999999,9.5723,False,True,True,False
326,2.312,2.3933,7.9625,5.516299999999999,10.0655,True,True,False,False
327,2.6492,2.2985,7.7951,5.2169,9.7973,True,False,False,False
328,2.4272,2.7305,7.7255,5.2031,10.1201,True,True,False,False
329,3.2072000000000003,2.7485,8.1443,4.9865,9.8627,False,True,False,False
330,2.9108,2.5529,8.1167,4.9373,9.8729,False,True,False,False
331,3.212,2.3987,7.6091,5.1113,9.5435,False,True,True,False
332,2.6852,2.2961,7.8587,5.0885,9.7757,True,False,False,False
333,2.6576,2.3495,7.6265,5.1593,9.8759,True,True,False,False
334,2.4284,2.4983,7.9421,5.0795,10.0091,True,True,False,False
335,2.942,2.4923,7.8407,5.3255,9.9083,False,True,False,False
336,2.7104,2.5421,7.7465,4.9607,9.7799,True,True,False,False
337,2.7248,2.2529,8.0351,5.3027,9.7901,True,False,False,False
338,3.2228,2.2775,7.8323,5.294899999999999,9.8549,False,False,False,False
339,2.6036,2.3279,7.9433,5.1239,9.7457,True,True,False,False
340,3.0296,2.5157,7.8341,5.2463,9.7607,False,True,True,False
341,3.3224,2.5079,7.9049,5.0813,9.5867,False,True,True,False
342,2.9168,2.5259,8.1563,5.3411,9.5969,False,True,False,False
343,2.7812,2.4107,8.0855,5.380699999999999,10.1183,True,True,False,False
344,2.618,2.4695,8.194700000000001,5.231299999999999,9.8159,True,True,False,False
345,2.5052,2.5619,7.9973,5.0183,10.0271,True,True,False,False
346,3.1268,2.1719,8.084900000000001,5.0423,10.1375,True,False,False,False
347,3.3368,2.1743,8.0945,5.3213,9.6917,False,False,False,False
348,3.2312,2.7329,7.9985,5.0897,9.5855,False,True,True,False
349,3.0704,2.5337,7.9649,5.3477,9.8903,False,True,True,False
350,2.5196,2.4203,7.6727,5.141299999999999,9.9365,True,True,False,False
351,2.9636,2.4797,8.1479,5.1311,9.8957,False,True,False,False
352,2.2184,2.6339,7.7093,5.145499999999999,9.6533,True,False,False,False
353,2.5616,2.2637,7.8581,5.3933,10.0685,True,False,False,False
354,3.3236,2.2643,8.0771,5.4419,9.8795,False,False,True,False
355,3.0944,2.7449,7.8329,5.0777,10.1057,True,True,True,True
356,2.5064,2.5979,7.8179,5.4479,9.7355,True,True,False,False
357,2.6312,2.2535,7.856899999999999,5.2919,9.6185,True,False,False,False
358,2.6528,2.5973,7.8155,5.2445,10.0661,True,True,False,False
359,2.7428,2.6603,7.9715,4.9403,10.0997,True,True,False,False
360,2.8796,2.3195,7.8503,5.0753,9.9047,True,True,False,False
361,2.9492,2.1599,7.632499999999999,5.1665,10.0607,True,False,False,False
362,2.8544,2.5883,8.0093,5.4125,9.8249,False,True,False,False
363,2.9408,2.4389,7.7033,5.0801,9.6233,False,True,False,False
364,2.4176,2.1755,8.1785,5.3363,9.9833,True,False,False,False
365,2.3888,2.4035,7.9709,4.9913,9.6905,True,True,False,False
