,U1_OK_d_wl_ew6,U1_OK_d_wl_sn21,U1_OK_d_wl_sn26,U1_OK_d_wl_sn10,U1_OK_d_wl_ew35,compliance-IBC1020_2,compliance-IBC1207_1,compliance-IBC1207_3,compliance
272,2.354,2.5187,7.8935,5.0057,9.7895,TRUE,TRUE,FALSE,FALSE
273,2.558,2.5565,7.8431,5.1323,9.5831,TRUE,TRUE,FALSE,FALSE
274,3.0164,2.4635,7.6679,5.3591,9.7691,FALSE,TRUE,FALSE,FALSE
275,2.6336,2.5865,8.0891,5.3783,10.0289,TRUE,TRUE,FALSE,FALSE
276,2.2544,2.4821,7.7519,5.3423,9.6953,TRUE,FALSE,FALSE,FALSE
277,2.7344,2.5613,7.6703,5.4725,9.8987,TRUE,FALSE,FALSE,FALSE
278,3.2648,2.1815,7.9277,5.2733,9.7391,FALSE,FALSE,FALSE,FALSE
279,2.654,2.5889,8.0189,5.3501,9.7241,TRUE,TRUE,FALSE,FALSE
280,2.5568,2.2487,7.7645,5.0393,9.6413,TRUE,FALSE,FALSE,FALSE
281,2.9756,2.5253,8.0129,5.0165,9.8573,FALSE,TRUE,TRUE,FALSE
282,2.9504,2.2127,7.9337,5.5175,10.0547,TRUE,FALSE,FALSE,FALSE
283,3.1544,2.4671,7.6991,5.2673,9.7385,FALSE,TRUE,TRUE,FALSE
284,2.42,2.7461,7.9415,5.3663,9.6317,TRUE,TRUE,FALSE,FALSE
285,2.9996,2.2685,8.1641,5.0369,10.1129,TRUE,FALSE,FALSE,FALSE
286,2.324,2.4347,8.0123,4.9325,9.9479,TRUE,TRUE,FALSE,FALSE
287,2.1992,2.3021,8.1149,4.9511,10.0409,TRUE,FALSE,FALSE,FALSE
